SiteCode,DataValue,LocalDateTime,UTCOffset,VariableCode,QualityControlLevelCode
S_GIOVANNI_BIAN,5.0,19/03/1951 09:00,1,Precipitation,3
S_GIOVANNI_BIAN,0.0,20/03/1951 09:00,1,Precipitation,3
S_GIOVANNI_BIAN,0.0,21/03/1951 09:00,1,Precipitation,3
S_GIOVANNI_BIAN,0.0,22/03/1951 09:00,1,Precipitation,3
S_GIOVANNI_BIAN,2.0,23/03/1951 09:00,1,Precipitation,3
S_GIOVANNI_BIAN,0.0,24/03/1951 09:00,1,Precipitation,3
S_GIOVANNI_BIAN,0.0,25/03/1951 09:00,1,Precipitation,3
S_GIOVANNI_BIAN,0.0,26/03/1951 09:00,1,Precipitation,3
S_GIOVANNI_BIAN,0.0,27/03/1951 09:00,1,Precipitation,3
S_GIOVANNI_BIAN,13.0,28/03/1951 09:00,1,Precipitation,3
S_GIOVANNI_BIAN,20.0,29/03/1951 09:00,1,Precipitation,3
S_GIOVANNI_BIAN,45.0,30/03/1951 09:00,1,Precipitation,3
S_GIOVANNI_BIAN,0.0,31/03/1951 09:00,1,Precipitation,3
S_GIOVANNI_BIAN,0.0,01/04/1951 09:00,1,Precipitation,3
S_GIOVANNI_BIAN,22.0,02/04/1951 09:00,1,Precipitation,3
S_GIOVANNI_BIAN,13.0,03/04/1951 09:00,1,Precipitation,3
S_GIOVANNI_BIAN,0.0,04/04/1951 09:00,1,Precipitation,3
S_GIOVANNI_BIAN,0.0,05/04/1951 09:00,1,Precipitation,3
S_GIOVANNI_BIAN,0.0,06/04/1951 09:00,1,Precipitation,3
S_GIOVANNI_BIAN,48.0,07/04/1951 09:00,1,Precipitation,3
S_GIOVANNI_BIAN,7.0,08/04/1951 09:00,1,Precipitation,3
S_GIOVANNI_BIAN,1.5,09/04/1951 09:00,1,Precipitation,3
S_GIOVANNI_BIAN,45.0,10/04/1951 09:00,1,Precipitation,3
S_GIOVANNI_BIAN,2.0,11/04/1951 09:00,1,Precipitation,3
S_GIOVANNI_BIAN,0.0,12/04/1951 09:00,1,Precipitation,3
S_GIOVANNI_BIAN,0.0,13/04/1951 09:00,1,Precipitation,3
S_GIOVANNI_BIAN,2.0,14/04/1951 09:00,1,Precipitation,3
S_GIOVANNI_BIAN,0.0,15/04/1951 09:00,1,Precipitation,3
S_GIOVANNI_BIAN,0.0,16/04/1951 09:00,1,Precipitation,3
S_GIOVANNI_BIAN,0.0,17/04/1951 09:00,1,Precipitation,3
S_GIOVANNI_BIAN,4.0,18/04/1951 09:00,1,Precipitation,3
S_GIOVANNI_BIAN,0.0,19/04/1951 09:00,1,Precipitation,3
S_GIOVANNI_BIAN,0.0,20/04/1951 09:00,1,Precipitation,3
S_GIOVANNI_BIAN,0.0,21/04/1951 09:00,1,Precipitation,3
S_GIOVANNI_BIAN,0.0,22/04/1951 09:00,1,Precipitation,3
S_GIOVANNI_BIAN,0.0,23/04/1951 09:00,1,Precipitation,3
S_GIOVANNI_BIAN,0.0,24/04/1951 09:00,1,Precipitation,3
S_GIOVANNI_BIAN,0.0,25/04/1951 09:00,1,Precipitation,3
S_GIOVANNI_BIAN,15.0,26/04/1951 09:00,1,Precipitation,3
S_GIOVANNI_BIAN,3.0,27/04/1951 09:00,1,Precipitation,3
S_GIOVANNI_BIAN,45.0,28/04/1951 09:00,1,Precipitation,3
S_GIOVANNI_BIAN,0.0,29/04/1951 09:00,1,Precipitation,3
S_GIOVANNI_BIAN,0.0,30/04/1951 09:00,1,Precipitation,3
S_GIOVANNI_BIAN,2.0,01/05/1951 09:00,1,Precipitation,3
S_GIOVANNI_BIAN,1.0,02/05/1951 09:00,1,Precipitation,3
S_GIOVANNI_BIAN,9.0,03/05/1951 09:00,1,Precipitation,3
S_GIOVANNI_BIAN,6.0,04/05/1951 09:00,1,Precipitation,3
S_GIOVANNI_BIAN,0.0,05/05/1951 09:00,1,Precipitation,3
S_GIOVANNI_BIAN,1.0,06/05/1951 09:00,1,Precipitation,3
S_GIOVANNI_BIAN,20.0,07/05/1951 09:00,1,Precipitation,3
S_GIOVANNI_BIAN,14.0,08/05/1951 09:00,1,Precipitation,3
S_GIOVANNI_BIAN,1.0,09/05/1951 09:00,1,Precipitation,3
S_GIOVANNI_BIAN,3.0,10/05/1951 09:00,1,Precipitation,3
S_GIOVANNI_BIAN,13.0,11/05/1951 09:00,1,Precipitation,3
S_GIOVANNI_BIAN,0.0,12/05/1951 09:00,1,Precipitation,3
